#pairs	CPU Usage %
1	197.1199999999999
2	354.5600000000004
3	524.8000000000002
4	688.0
5	872.96
6	1039.3599999999997
7	1205.12
8	1362.5600000000004
9	1541.12
10	1612.1599999999999
11	1866.2399999999998
12	2035.8400000000001
13	2224.6400000000003
14	2378.88
15	2544.64
16	2668.8
17	2783.36
18	2864.64
19	2972.16
20	3189.76
21	3254.4
22	3313.92
23	3413.12
24	3562.24
25	3762.56
26	3838.08
27	3944.32
28	3994.24
29	4215.04
30	4327.68
31	4347.52
32	4450.5599999999995
