#pairs	CPU Usage %
1	145.92000000000007
2	280.3199999999997
3	416.0
4	538.8800000000001
5	693.1199999999999
6	819.8400000000001
7	890.2399999999998
8	1057.2799999999997
9	1198.08
10	1339.5200000000004
11	1406.08
12	1636.4799999999996
13	1772.8000000000002
14	1870.08
15	1985.92
16	2120.3199999999997
17	2224.0
18	2336.0
19	2591.36
20	2696.96
21	2908.8
22	3018.24
23	3159.68
24	3213.44
25	3353.6
26	3468.8
27	3659.52
28	3698.56
29	3813.76
30	3967.36
31	4140.16
32	4042.88
