#pairs	CPU Usage %
1	192.0
2	322.5600000000004
3	535.04
4	715.5200000000004
5	887.6800000000003
6	1028.4799999999996
7	1216.0
8	1352.96
9	1568.6400000000003
10	1720.96
11	1906.5600000000004
12	2029.4399999999996
13	2247.6800000000003
14	2407.04
15	2561.92
16	2627.84
17	2824.96
18	2874.88
19	3064.32
20	3077.12
21	3237.76
22	3425.92
23	3459.2
24	3621.76
25	3683.84
26	3754.88
27	3862.4
28	3967.36
29	4065.92
30	4202.88
31	4201.6
32	4373.12
